Comment                                   Comment                                (denyhostsComment)
Comment                                   Comment                                (desComment)
Slash                                     Comment                                (desSlash)
Text                                      Comment                                (descText)
Comment                                   Comment                                (dictconfComment)
Comment                                   Comment                                (dictdconfComment)
Comment                                   Comment                                (diffComment)
Comment                                   Comment                                (dircolorsComment)
ComBlock                                  Comment                                (djangoComBlock)
Comment                                   Comment                                (djangoComment)
Remark                                    Comment                                (docbkRemark)
Comment                                   Comment                                (dosbatchComment)
Comment                                   Comment                                (dosiniComment)
Comment                                   Comment                                (dotComment)
Comment                                   Comment                                (draculaComment)
Comment                                   Comment                                (dsComment)
Comment                                   Comment                                (dslComment)
Comment                                   Comment                                (dtComment)
Comment                                   Comment                                (dtdComment)
Comment                                   Comment                                (dtmlComment)
Comment                                   Comment                                (dtraceComment)
Comment                                   Comment                                (dylanComment)
Comment                                   Comment                                (eComment)
Comment                                   Comment                                (ecdComment)
Comment                                   Comment                                (ecoComment)
Comment                                   Comment                                (efeneComment)
Comment                                   Comment                                (eiffelComment)
Comment                                   Comment                                (elfComment)
Comment                                   Comment                                (elinksComment)
Comment                                   Comment                                (elmfiltComment)
Comment                                   Comment                                (erlangComment)
Comment                                   Comment                                (erlangComment)
IgnoredVariable                           Comment                                (erlangIgnoredVariable)
BlockComment                              Comment                                (erlpegBlockComment)
Comment                                   Comment                                (erlpegComment)
OptToken                                  Comment                                (erlpegOptToken)
TaggedRule                                Comment                                (erlpegTaggedRule)
Comment                                   Comment                                (erubyComment)
Comment                                   Comment                                (esterelComment)
Comment                                   Comment                                (etermComment)
Comment                                   Comment                                (eximComment)
Comment                                   Comment                                (expectComment)
Comment                                   Comment                                (exportsComment)
Comment                                   Comment                                (falconComment)
CommentL                                  Comment                                (falconCommentL)
Skip                                      Comment                                (falconcommentSkip)
Comment                                   Comment                                (fanComment)
DocComment                                Comment                                (fanDocComment)
LineComment                               Comment                                (fanLineComment)
Comment                                   Comment                                (fdccComment)
Comment                                   Comment                                (fetchmailComment)
Comment                                   Comment                                (fglComment)
